repositorio,tipo_proyecto,nombre_proyecto,lenguaje_principal,lenguaje,porcentaje
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,HTML,35.64
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,PHP,24.6
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,JavaScript,23.96
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,CSS,10.37
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,SCSS,1.73
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,Java,1.68
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,Less,1.57
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,Hack,0.39
proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,HTML,Ruby,0.04
proyecto_curso-intranet-cursos,proyecto_curso,intranet-cursos,Python,Python,98.79
proyecto_curso-intranet-cursos,proyecto_curso,intranet-cursos,Python,Dockerfile,1.21
proyecto_curso-tienda-de-zapatillas-kalpten,proyecto_curso,tienda-de-zapatillas-kalpten,Java,Java,100.0
proyecto_curso-laboratorio-automotriz-laditec,proyecto_curso,laboratorio-automotriz-laditec,CSS,CSS,33.98
proyecto_curso-laboratorio-automotriz-laditec,proyecto_curso,laboratorio-automotriz-laditec,CSS,HTML,26.82
proyecto_curso-laboratorio-automotriz-laditec,proyecto_curso,laboratorio-automotriz-laditec,CSS,Java,19.37
proyecto_curso-laboratorio-automotriz-laditec,proyecto_curso,laboratorio-automotriz-laditec,CSS,JavaScript,16.89
proyecto_curso-laboratorio-automotriz-laditec,proyecto_curso,laboratorio-automotriz-laditec,CSS,Shell,1.68
proyecto_curso-laboratorio-automotriz-laditec,proyecto_curso,laboratorio-automotriz-laditec,CSS,Batchfile,0.95
proyecto_curso-laboratorio-automotriz-laditec,proyecto_curso,laboratorio-automotriz-laditec,CSS,Gherkin,0.3
proyecto_curso-intranet-asistencias,proyecto_curso,intranet-asistencias,C#,C#,100.0
proyecto_curso_app_banca-api_usuario,proyecto_curso_app_banca,api_usuario,TypeScript,TypeScript,91.54
proyecto_curso_app_banca-api_usuario,proyecto_curso_app_banca,api_usuario,TypeScript,JavaScript,6.35
proyecto_curso_app_banca-api_usuario,proyecto_curso_app_banca,api_usuario,TypeScript,Dockerfile,2.1
proyecto_curso_app_banca-api_productos,proyecto_curso_app_banca,api_productos,C#,C#,99.74
proyecto_curso_app_banca-api_productos,proyecto_curso_app_banca,api_productos,C#,ASP.NET,0.26
proyecto_curso_app_banca-api_notificaciones,proyecto_curso_app_banca,api_notificaciones,PHP,PHP,99.11
proyecto_curso_app_banca-api_notificaciones,proyecto_curso_app_banca,api_notificaciones,PHP,JavaScript,0.56
proyecto_curso_app_banca-api_notificaciones,proyecto_curso_app_banca,api_notificaciones,PHP,C#,0.27
proyecto_curso_app_banca-api_notificaciones,proyecto_curso_app_banca,api_notificaciones,PHP,Hack,0.06
proyecto_curso_app_banca-api_servicios,proyecto_curso_app_banca,api_servicios,Python,Python,58.49
proyecto_curso_app_banca-api_servicios,proyecto_curso_app_banca,api_servicios,Python,TypeScript,29.97
proyecto_curso_app_banca-api_servicios,proyecto_curso_app_banca,api_servicios,Python,C#,9.11
proyecto_curso_app_banca-api_servicios,proyecto_curso_app_banca,api_servicios,Python,JavaScript,1.27
proyecto_curso_app_banca-api_servicios,proyecto_curso_app_banca,api_servicios,Python,HTML,0.64
proyecto_curso_app_banca-api_servicios,proyecto_curso_app_banca,api_servicios,Python,CSS,0.29
proyecto_curso_app_banca-api_servicios,proyecto_curso_app_banca,api_servicios,Python,Dockerfile,0.23
proyecto_curso_app_banca-api_operacion,proyecto_curso_app_banca,api_operacion,Java,Java,100.0
proyecto_unidad_ii-intranet-asistencias,proyecto_unidad_ii,intranet-asistencias,C#,C#,95.24
proyecto_unidad_ii-intranet-asistencias,proyecto_unidad_ii,intranet-asistencias,C#,Python,4.76
proyecto_unidad_ii-intranet-cursos,proyecto_unidad_ii,intranet-cursos,Python,Python,99.34
proyecto_unidad_ii-intranet-cursos,proyecto_unidad_ii,intranet-cursos,Python,Dockerfile,0.66
proyecto_unidad_ii-intranet-universidad-matricula,proyecto_unidad_ii,intranet-universidad-matricula,HTML,HTML,93.57
proyecto_unidad_ii-intranet-universidad-matricula,proyecto_unidad_ii,intranet-universidad-matricula,HTML,Java,6.43
proyecto-unidad-iii-pds-api_notificaciones,proyecto,unidad-iii-pds-api_notificaciones,JavaScript,JavaScript,88.0
proyecto-unidad-iii-pds-api_notificaciones,proyecto,unidad-iii-pds-api_notificaciones,JavaScript,HTML,12.0
proyecto-unidad-iii-pds-api_servicios,proyecto,unidad-iii-pds-api_servicios,Python,Python,50.93
proyecto-unidad-iii-pds-api_servicios,proyecto,unidad-iii-pds-api_servicios,Python,TypeScript,40.48
proyecto-unidad-iii-pds-api_servicios,proyecto,unidad-iii-pds-api_servicios,Python,C#,6.76
proyecto-unidad-iii-pds-api_servicios,proyecto,unidad-iii-pds-api_servicios,Python,JavaScript,0.95
proyecto-unidad-iii-pds-api_servicios,proyecto,unidad-iii-pds-api_servicios,Python,HTML,0.48
proyecto-unidad-iii-pds-api_servicios,proyecto,unidad-iii-pds-api_servicios,Python,CSS,0.22
proyecto-unidad-iii-pds-api_servicios,proyecto,unidad-iii-pds-api_servicios,Python,Dockerfile,0.17
proyecto-unidad-iii-pds-api_operacion,proyecto,unidad-iii-pds-api_operacion,Java,Java,40.23
proyecto-unidad-iii-pds-api_operacion,proyecto,unidad-iii-pds-api_operacion,Java,HTML,26.95
proyecto-unidad-iii-pds-api_operacion,proyecto,unidad-iii-pds-api_operacion,Java,TypeScript,20.33
proyecto-unidad-iii-pds-api_operacion,proyecto,unidad-iii-pds-api_operacion,Java,CSS,11.01
proyecto-unidad-iii-pds-api_operacion,proyecto,unidad-iii-pds-api_operacion,Java,JavaScript,1.47
