repositorio,tipo_proyecto,nombre_proyecto,usa_aws,usa_azure,usa_django,usa_docker,usa_dotnet,usa_firebase,usa_gcp,usa_github_actions,usa_heroku,usa_laravel,usa_maven,usa_mongodb,usa_mysql,usa_nestjs,usa_nodejs,usa_npm,usa_pip,usa_postgresql,usa_postman,usa_react,usa_sonarqube,usa_sqlserver,usa_vercel
UPT-FAING-EPIS/proyecto_curso-intranet-universidad-matricula,proyecto_curso,intranet-universidad-matricula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPT-FAING-EPIS/proyecto_curso-intranet_Usuarios,proyecto_curso,intranet_Usuarios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPT-FAING-EPIS/proyecto_curso-intranet-cursos,proyecto_curso,intranet-cursos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UPT-FAING-EPIS/proyecto_curso-gestion-biblioteca-bilbo,proyecto_curso,gestion-biblioteca-bilbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPT-FAING-EPIS/proyecto_curso-tienda-de-zapatillas-kalpten,proyecto_curso,tienda-de-zapatillas-kalpten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPT-FAING-EPIS/proyecto_curso-laboratorio-automotriz-laditec,proyecto_curso,laboratorio-automotriz-laditec,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
UPT-FAING-EPIS/proyecto_curso-Almacen,proyecto_curso,Almacen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPT-FAING-EPIS/proyecto_curso_app_banca-api_usuario,proyecto_curso_app_banca,api_usuario,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
UPT-FAING-EPIS/proyecto_curso_app_banca-api_productos,proyecto_curso_app_banca,api_productos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPT-FAING-EPIS/proyecto_curso_app_banca-api_notificaciones,proyecto_curso_app_banca,api_notificaciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
